city,state,total_purchases,total_revenue,avg_check
Aspen,KY,13,6106.0,469.6923076923076923
Scarborough,MI,22,10331.0,469.5909090909090909
Opelousas,CT,11,5165.0,469.5454545454545455
Salt Lake City,IN,22,10330.0,469.5454545454545455
Bandon,NU,7,3286.0,469.4285714285714286
Olean,LA,8,3755.0,469.3750000000000000
Pullman,AB,9,4224.0,469.3333333333333333
Watertown,AL,8,3754.0,469.2500000000000000
Bradbury,SK,18,8445.0,469.1666666666666667
Erie,NB,7,3284.0,469.1428571428571429
Lake Charles,NL,9,4222.0,469.1111111111111111
Dover,CO,10,4691.0,469.1000000000000000
Fort Lauderdale,YT,7,3283.0,469.0000000000000000
Monterey Park,SK,18,8437.0,468.7222222222222222
Flint,NJ,15,7030.0,468.6666666666666667
Waltham,BC,9,4217.0,468.5555555555555556
Paterson,PE,17,7965.0,468.5294117647058824
Fulton,NY,6,2811.0,468.5000000000000000
Rawlins,NE,8,3748.0,468.5000000000000000
Saint Paul,MB,11,5153.0,468.4545454545454545
Guayanilla,DE,6,2810.0,468.3333333333333333
Indianapolis,ME,12,5620.0,468.3333333333333333
Danbury,MB,11,5150.0,468.1818181818181818
Muskegon,OK,12,5618.0,468.1666666666666667
Rhinelander,TX,26,12171.0,468.1153846153846154
Spokane,OH,7,3276.0,468.0000000000000000
Greenville,NL,8,3744.0,468.0000000000000000
Avalon,CA,12,5615.0,467.9166666666666667
Carson,BC,10,4679.0,467.9000000000000000
Sault Ste. Marie,MI,24,11227.0,467.7916666666666667
Guayanilla,ON,9,4210.0,467.7777777777777778
Moscow,NB,14,6548.0,467.7142857142857143
Bloomington,SK,6,2806.0,467.6666666666666667
Melrose,WI,9,4209.0,467.6666666666666667
Turlock,SK,13,6078.0,467.5384615384615385
Aspen,YT,10,4675.0,467.5000000000000000
Manitowoc,CA,8,3740.0,467.5000000000000000
Dickinson,AL,9,4207.0,467.4444444444444444
Hamilton,ON,12,5609.0,467.4166666666666667
Kennewick,NH,16,7478.0,467.3750000000000000
Enfield,AB,14,6543.0,467.3571428571428571
Whittier,KS,7,3271.0,467.2857142857142857
Rhinelander,GA,16,7476.0,467.2500000000000000
Parker,VT,8,3738.0,467.2500000000000000
Orlando,SK,7,3270.0,467.1428571428571429
Fernley,BC,8,3737.0,467.1250000000000000
Berkeley,MS,8,3737.0,467.1250000000000000
Pittsfield,BC,9,4204.0,467.1111111111111111
Little Falls,BC,6,2802.0,467.0000000000000000
Richland,SK,10,4670.0,467.0000000000000000
Hialeah,ND,6,2802.0,467.0000000000000000
San Clemente,SK,7,3268.0,466.8571428571428571
Duncan,MI,7,3268.0,466.8571428571428571
Manitowoc,NC,16,7468.0,466.7500000000000000
Yigo,UT,13,6065.0,466.5384615384615385
The Dalles,GA,12,5596.0,466.3333333333333333
Nampa,AB,15,6995.0,466.3333333333333333
Rockville,WV,15,6995.0,466.3333333333333333
Dalton,NS,20,9326.0,466.3000000000000000
Medford,KY,19,8858.0,466.2105263157894737
Superior,VT,6,2797.0,466.1666666666666667
Astoria,MA,24,11186.0,466.0833333333333333
Montgomery,NB,17,7923.0,466.0588235294117647
Montpelier,PE,18,8389.0,466.0555555555555556
Manitowoc,SK,11,5126.0,466.0000000000000000
Oxnard,QC,7,3262.0,466.0000000000000000
Eden Prairie,PE,31,14444.0,465.9354838709677419
North Tonawanda,UT,9,4193.0,465.8888888888888889
Quincy,HI,8,3727.0,465.8750000000000000
Springfield,ON,18,8385.0,465.8333333333333333
Cortland,AK,11,5124.0,465.8181818181818182
Jeffersonville,AZ,11,5124.0,465.8181818181818182
Saint Joseph,NS,27,12576.0,465.7777777777777778
Worland,SC,8,3726.0,465.7500000000000000
Charlotte,LA,8,3726.0,465.7500000000000000
Minnetonka,BC,17,7916.0,465.6470588235294118
Lancaster,SC,8,3725.0,465.6250000000000000
Lakeland,RI,16,7450.0,465.6250000000000000
Greenfield,ND,9,4190.0,465.5555555555555556
Berkeley,YT,13,6052.0,465.5384615384615385
Gilette,ND,6,2793.0,465.5000000000000000
Pueblo,PE,14,6516.0,465.4285714285714286
Normal,NS,18,8377.0,465.3888888888888889
Phenix City,SK,16,7444.0,465.2500000000000000
Fullerton,CO,8,3722.0,465.2500000000000000
San Mateo,ID,16,7444.0,465.2500000000000000
Glens Falls,TX,14,6512.0,465.1428571428571429
Overland Park,NC,7,3256.0,465.1428571428571429
Menomonee Falls,IN,14,6512.0,465.1428571428571429
Albuquerque,NB,15,6977.0,465.1333333333333333
Fremont,ON,8,3721.0,465.1250000000000000
Nogales,NU,14,6510.0,465.0000000000000000
Lomita,NB,18,8369.0,464.9444444444444444
Grass Valley,CO,7,3253.0,464.7142857142857143
West Jordan,NL,25,11617.0,464.6800000000000000
Indio,BC,6,2788.0,464.6666666666666667
Thiensville,SK,18,8364.0,464.6666666666666667
Poughkeepsie,TN,9,4182.0,464.6666666666666667
Santa Clarita,YT,11,5111.0,464.6363636363636364
Gu nica,PA,10,4646.0,464.6000000000000000
Flint,UT,9,4181.0,464.5555555555555556
Oak Ridge,NL,8,3716.0,464.5000000000000000
Agat,OK,6,2787.0,464.5000000000000000
Corvallis,NT,21,9754.0,464.4761904761904762
Rolla,NU,14,6502.0,464.4285714285714286
Stillwater,UT,6,2786.0,464.3333333333333333
Phenix City,OK,9,4178.0,464.2222222222222222
Pasco,SC,12,5570.0,464.1666666666666667
Columbia,QC,13,6034.0,464.1538461538461538
Concord,CT,9,4177.0,464.1111111111111111
St. Marys,NB,28,12993.0,464.0357142857142857
Broken Arrow,ME,14,6496.0,464.0000000000000000
Grand Forks,MB,8,3712.0,464.0000000000000000
Cape Girardeau,ON,8,3712.0,464.0000000000000000
Evansville,YT,8,3711.0,463.8750000000000000
Woburn,VA,7,3247.0,463.8571428571428571
North Charleston,GA,7,3247.0,463.8571428571428571
Torrington,VT,6,2783.0,463.8333333333333333
Hoboken,SD,6,2783.0,463.8333333333333333
Ontario,BC,23,10667.0,463.7826086956521739
Eatontown,KS,7,3246.0,463.7142857142857143
San Gabriel,NB,6,2782.0,463.6666666666666667
College Station,MO,16,7418.0,463.6250000000000000
Eureka,PE,10,4635.0,463.5000000000000000
Duluth,YT,8,3708.0,463.5000000000000000
Oshkosh,IL,6,2781.0,463.5000000000000000
Annapolis,RI,8,3708.0,463.5000000000000000
St. Petersburg,SK,14,6487.0,463.3571428571428571
Chicago,WY,9,4170.0,463.3333333333333333
Beverly,MD,7,3243.0,463.2857142857142857
Miami Beach,SK,14,6486.0,463.2857142857142857
Hamilton,MB,13,6021.0,463.1538461538461538
Palo Alto,ND,8,3705.0,463.1250000000000000
Sierra Madre,YT,8,3704.0,463.0000000000000000
Plattsburgh,LA,8,3704.0,463.0000000000000000
Waterloo,NL,10,4628.0,462.8000000000000000
Temecula,MB,11,5090.0,462.7272727272727273
Manchester,IA,12,5552.0,462.6666666666666667
Juneau,NS,6,2776.0,462.6666666666666667
Williamsport,DC,25,11566.0,462.6400000000000000
Chicago,BC,6,2775.0,462.5000000000000000
Escondido,NY,8,3700.0,462.5000000000000000
Laredo,MT,15,6937.0,462.4666666666666667
Cohoes,PE,11,5086.0,462.3636363636363636
Walla Walla,AB,34,15720.0,462.3529411764705882
Gastonia,MN,6,2774.0,462.3333333333333333
Danbury,IL,10,4623.0,462.3000000000000000
Alhambra,MB,7,3236.0,462.2857142857142857
Phenix City,OH,7,3236.0,462.2857142857142857
Omaha,PE,14,6472.0,462.2857142857142857
Stamford,NL,19,8783.0,462.2631578947368421
Somerville,AB,8,3698.0,462.2500000000000000
Oshkosh,NL,8,3698.0,462.2500000000000000
Schenectady,RI,18,8320.0,462.2222222222222222
Dalton,WI,8,3697.0,462.1250000000000000
Laramie,NS,8,3697.0,462.1250000000000000
Stafford,NT,10,4620.0,462.0000000000000000
Vicksburg,NB,12,5543.0,461.9166666666666667
Bridgeport,QC,18,8314.0,461.8888888888888889
New Albany,NU,6,2771.0,461.8333333333333333
Austin,WV,13,6003.0,461.7692307692307692
Aliso Viejo,LA,7,3232.0,461.7142857142857143
Boise,IN,18,8308.0,461.5555555555555556
Gilbert,SC,8,3692.0,461.5000000000000000
Augusta,NT,12,5538.0,461.5000000000000000
Northampton,YT,13,5999.0,461.4615384615384615
Vancouver,ON,20,9229.0,461.4500000000000000
Santa Clara,AB,15,6920.0,461.3333333333333333
Tucson,AK,20,9226.0,461.3000000000000000
Dayton,AB,15,6918.0,461.2000000000000000
Frisco,MA,7,3228.0,461.1428571428571429
Nogales,ON,9,4150.0,461.1111111111111111
Wausau,QC,11,5072.0,461.0909090909090909
South El Monte,CA,7,3227.0,461.0000000000000000
Las Vegas,RI,8,3688.0,461.0000000000000000
Tucson,TN,8,3688.0,461.0000000000000000
Healdsburg,NS,13,5991.0,460.8461538461538462
Vineland,NM,10,4608.0,460.8000000000000000
Pittston,AB,13,5990.0,460.7692307692307692
Hollywood,BC,19,8752.0,460.6315789473684211
Mentor,NY,8,3685.0,460.6250000000000000
Quincy,NL,10,4606.0,460.6000000000000000
Altoona,ON,12,5527.0,460.5833333333333333
North Pole,NL,16,7369.0,460.5625000000000000
White Plains,NT,12,5526.0,460.5000000000000000
Evanston,NB,11,5065.0,460.4545454545454545
Pasadena,SK,10,4604.0,460.4000000000000000
Roseville,AK,11,5064.0,460.3636363636363636
Somersworth,GA,8,3682.0,460.2500000000000000
Concord,YT,20,9203.0,460.1500000000000000
Council Bluffs,MO,10,4601.0,460.1000000000000000
Calabasas,UT,9,4139.0,459.8888888888888889
Miami Beach,QC,16,7357.0,459.8125000000000000
Hilo,ND,7,3218.0,459.7142857142857143
Bethlehem,PE,10,4597.0,459.7000000000000000
Visalia,NT,9,4137.0,459.6666666666666667
Pueblo,AZ,9,4137.0,459.6666666666666667
Savannah,IN,8,3677.0,459.6250000000000000
Kettering,PE,29,13329.0,459.6206896551724138
Grand Rapids,AB,23,10571.0,459.6086956521739130
Signal Hill,NT,7,3216.0,459.4285714285714286
Santa Monica,MI,12,5512.0,459.3333333333333333
Kearns,ND,31,14239.0,459.3225806451612903
San Gabriel,NU,9,4133.0,459.2222222222222222
Alamogordo,UT,14,6428.0,459.1428571428571429
Opelousas,NV,8,3672.0,459.0000000000000000
Lufkin,VA,6,2754.0,459.0000000000000000
Cranston,FL,6,2754.0,459.0000000000000000
Newburgh,NB,16,7343.0,458.9375000000000000
Kankakee,BC,12,5507.0,458.9166666666666667
Bay St. Louis,VA,11,5048.0,458.9090909090909091
Monterey,NB,7,3212.0,458.8571428571428571
New Castle,NS,8,3670.0,458.7500000000000000
Wausau,PE,16,7340.0,458.7500000000000000
Ashland,AK,14,6422.0,458.7142857142857143
Goose Creek,UT,6,2752.0,458.6666666666666667
West Sacramento,KY,12,5503.0,458.5833333333333333
Lexington,AZ,7,3210.0,458.5714285714285714
Aurora,AL,7,3210.0,458.5714285714285714
Monroe,MB,9,4127.0,458.5555555555555556
Clarksville,PE,6,2751.0,458.5000000000000000
Scranton,NL,20,9170.0,458.5000000000000000
East Lansing,WA,6,2751.0,458.5000000000000000
Wahoo,QC,8,3668.0,458.5000000000000000
Vergennes,ND,7,3209.0,458.4285714285714286
Colorado Springs,MS,12,5501.0,458.4166666666666667
Plymouth,NY,12,5498.0,458.1666666666666667
Oxnard,NH,16,7327.0,457.9375000000000000
Lafayette,AL,16,7326.0,457.8750000000000000
Bradford,NL,11,5036.0,457.8181818181818182
Kona,SC,8,3662.0,457.7500000000000000
Sandy,VT,8,3662.0,457.7500000000000000
Cedarburg,PA,7,3204.0,457.7142857142857143
Passaic,OR,10,4577.0,457.7000000000000000
Plymouth,BC,11,5034.0,457.6363636363636364
New Castle,MS,7,3203.0,457.5714285714285714
Caguas,SK,11,5033.0,457.5454545454545455
Brown Deer,GA,15,6862.0,457.4666666666666667
Rancho Santa Margarita,AK,7,3202.0,457.4285714285714286
Newcastle,BC,10,4574.0,457.4000000000000000
Owensboro,TN,10,4573.0,457.3000000000000000
Juneau,OH,8,3658.0,457.2500000000000000
Philadelphia,AB,9,4115.0,457.2222222222222222
Rutland,MN,9,4115.0,457.2222222222222222
East St. Louis,MA,23,10516.0,457.2173913043478261
Sedalia,QC,24,10973.0,457.2083333333333333
Cerritos,NT,8,3657.0,457.1250000000000000
Oneonta,AL,9,4114.0,457.1111111111111111
McKeesport,NT,13,5942.0,457.0769230769230769
Jackson,IL,10,4570.0,457.0000000000000000
La Habra,NL,14,6398.0,457.0000000000000000
Rancho Palos Verdes,ON,10,4569.0,456.9000000000000000
Garden Grove,IA,15,6852.0,456.8000000000000000
Dearborn,NL,13,5938.0,456.7692307692307692
Apple Valley,ON,13,5938.0,456.7692307692307692
Duncan,OR,11,5024.0,456.7272727272727273
Azusa,KY,14,6394.0,456.7142857142857143
Gloucester,CA,9,4109.0,456.5555555555555556
Oneida,NL,21,9587.0,456.5238095238095238
Cody,NU,23,10499.0,456.4782608695652174
Oklahoma City,YT,15,6847.0,456.4666666666666667
Scottsbluff,NL,6,2738.0,456.3333333333333333
Waltham,MB,7,3194.0,456.2857142857142857
Union City,NS,7,3194.0,456.2857142857142857
Dixon,DE,10,4562.0,456.2000000000000000
Port St. Lucie,GA,6,2737.0,456.1666666666666667
Winston-Salem,NU,15,6842.0,456.1333333333333333
Independence,UT,8,3648.0,456.0000000000000000
Leominster,CO,8,3647.0,455.8750000000000000
Pass Christian,CA,8,3647.0,455.8750000000000000
San Rafael,NL,18,8204.0,455.7777777777777778
Thousand Oaks,MO,8,3646.0,455.7500000000000000
Paducah,SC,7,3190.0,455.7142857142857143
Cedar City,AZ,7,3190.0,455.7142857142857143
Peekskill,IN,11,5012.0,455.6363636363636364
Aberdeen,MB,7,3189.0,455.5714285714285714
Logan,NM,9,4099.0,455.4444444444444444
Concord,DE,9,4099.0,455.4444444444444444
Rapid City,AL,10,4552.0,455.2000000000000000
Chattanooga,CA,11,5007.0,455.1818181818181818
Bell Gardens,PE,19,8648.0,455.1578947368421053
Pascagoula,NV,7,3186.0,455.1428571428571429
White Plains,NY,7,3186.0,455.1428571428571429
Kahului,AB,8,3641.0,455.1250000000000000
Cumberland,BC,25,11378.0,455.1200000000000000
Ames,QC,6,2730.0,455.0000000000000000
Tupelo,BC,33,15015.0,455.0000000000000000
La Puente,BC,16,7276.0,454.7500000000000000
Waycross,MD,8,3638.0,454.7500000000000000
Bristol,IL,6,2728.0,454.6666666666666667
Warner Robins,NC,8,3637.0,454.6250000000000000
Costa Mesa,NH,13,5910.0,454.6153846153846154
Shreveport,CO,18,8183.0,454.6111111111111111
Sandpoint,NU,12,5455.0,454.5833333333333333
Victoria,IN,8,3636.0,454.5000000000000000
Port Orford,NT,16,7271.0,454.4375000000000000
Sharon,NH,12,5453.0,454.4166666666666667
Cerritos,WY,20,9088.0,454.4000000000000000
Rolling Hills Estates,ON,11,4998.0,454.3636363636363636
Loudon,YT,6,2726.0,454.3333333333333333
Belpre,NC,6,2726.0,454.3333333333333333
Grand Junction,NU,15,6815.0,454.3333333333333333
Port St. Lucie,SC,16,7269.0,454.3125000000000000
Moscow,NV,7,3180.0,454.2857142857142857
Gardena,CT,11,4997.0,454.2727272727272727
El Cerrito,BC,8,3634.0,454.2500000000000000
Hutchinson,SD,8,3634.0,454.2500000000000000
Yorba Linda,ON,12,5450.0,454.1666666666666667
Brockton,NB,10,4541.0,454.1000000000000000
Redding,ID,12,5449.0,454.0833333333333333
Arlington,WI,17,7719.0,454.0588235294117647
Laguna Woods,WV,11,4994.0,454.0000000000000000
Sioux Falls,NC,7,3178.0,454.0000000000000000
St. Marys,WY,6,2724.0,454.0000000000000000
Mason City,NB,12,5447.0,453.9166666666666667
Hoboken,NU,7,3177.0,453.8571428571428571
Hollywood,GA,7,3176.0,453.7142857142857143
Concord,NY,12,5443.0,453.5833333333333333
Port Washington,ID,8,3628.0,453.5000000000000000
Sierra Madre,IN,8,3628.0,453.5000000000000000
Westfield,BC,14,6349.0,453.5000000000000000
Chula Vista,PE,6,2721.0,453.5000000000000000
Utica,NL,14,6348.0,453.4285714285714286
Santa Ana,ON,16,7254.0,453.3750000000000000
Statesboro,VT,12,5440.0,453.3333333333333333
Hampton,YT,10,4532.0,453.2000000000000000
Kemmerer,WI,6,2719.0,453.1666666666666667
Morrison,PE,12,5438.0,453.1666666666666667
Pullman,NT,7,3172.0,453.1428571428571429
Stamford,SK,7,3170.0,452.8571428571428571
Baytown,NU,6,2717.0,452.8333333333333333
Irwindale,MI,9,4075.0,452.7777777777777778
Marietta,AL,11,4979.0,452.6363636363636364
Bowie,KY,7,3168.0,452.5714285714285714
Akron,OR,8,3620.0,452.5000000000000000
Peabody,TX,8,3620.0,452.5000000000000000
Oneida,NV,8,3620.0,452.5000000000000000
Rensselaer,NM,6,2715.0,452.5000000000000000
Cedarburg,MB,17,7692.0,452.4705882352941176
Blythe,NS,10,4524.0,452.4000000000000000
Shawnee,MB,13,5880.0,452.3076923076923077
Broken Arrow,KY,7,3166.0,452.2857142857142857
Homer,AZ,7,3166.0,452.2857142857142857
Bell,MI,12,5427.0,452.2500000000000000
Gary,NT,15,6783.0,452.2000000000000000
Compton,MB,17,7685.0,452.0588235294117647
Duarte,MB,8,3616.0,452.0000000000000000
Phoenix,PA,7,3164.0,452.0000000000000000
Huntington Park,SK,13,5875.0,451.9230769230769231
Glens Falls,LA,11,4970.0,451.8181818181818182
Alameda,HI,10,4517.0,451.7000000000000000
Bessemer,NU,6,2710.0,451.6666666666666667
Oakland,NU,12,5420.0,451.6666666666666667
Cape Girardeau,NB,10,4516.0,451.6000000000000000
Lebanon,OR,7,3161.0,451.5714285714285714
Laguna Beach,NJ,9,4064.0,451.5555555555555556
Fort Lauderdale,MB,16,7224.0,451.5000000000000000
Superior,CT,8,3612.0,451.5000000000000000
Monterey Park,YT,6,2708.0,451.3333333333333333
Laurel,QC,6,2708.0,451.3333333333333333
Ephraim,YT,7,3159.0,451.2857142857142857
Jenks,PA,11,4964.0,451.2727272727272727
Asheville,SK,11,4964.0,451.2727272727272727
Sherrill,NY,29,13086.0,451.2413793103448276
Plainfield,MO,10,4512.0,451.2000000000000000
Kennesaw,BC,32,14437.0,451.1562500000000000
Norwalk,MI,7,3158.0,451.1428571428571429
Tustin,MA,8,3609.0,451.1250000000000000
Sandy,BC,10,4510.0,451.0000000000000000
El Monte,NT,6,2706.0,451.0000000000000000
Arcadia,NU,9,4059.0,451.0000000000000000
Carson,AB,8,3608.0,451.0000000000000000
Twin Falls,ON,16,7215.0,450.9375000000000000
East St. Louis,YT,10,4509.0,450.9000000000000000
Farmington,QC,10,4509.0,450.9000000000000000
Hoover,VA,16,7214.0,450.8750000000000000
Shelton,ME,12,5410.0,450.8333333333333333
Ruston,NT,19,8565.0,450.7894736842105263
Richmond,DE,11,4958.0,450.7272727272727273
Rosemead,BC,21,9465.0,450.7142857142857143
Beckley,IA,15,6760.0,450.6666666666666667
Cumberland,NU,15,6758.0,450.5333333333333333
Lebanon,AB,25,11263.0,450.5200000000000000
Salisbury,NM,12,5406.0,450.5000000000000000
Cruz Bay,NB,8,3604.0,450.5000000000000000
Greenville,PE,12,5405.0,450.4166666666666667
San Antonio,AB,30,13512.0,450.4000000000000000
Temecula,MO,8,3603.0,450.3750000000000000
Aspen,OH,8,3603.0,450.3750000000000000
Virginia Beach,AB,15,6754.0,450.2666666666666667
Jersey City,IN,9,4052.0,450.2222222222222222
Malibu,NT,9,4052.0,450.2222222222222222
Santa Cruz,NB,11,4952.0,450.1818181818181818
Fernley,YT,30,13503.0,450.1000000000000000
Boulder Junction,BC,13,5851.0,450.0769230769230769
West Hollywood,AB,8,3600.0,450.0000000000000000
Vallejo,QC,7,3150.0,450.0000000000000000
Rome,YT,23,10349.0,449.9565217391304348
Nampa,DE,6,2699.0,449.8333333333333333
Rancho Cordova,TN,10,4498.0,449.8000000000000000
Forrest City,QC,8,3598.0,449.7500000000000000
Plantation,AZ,11,4947.0,449.7272727272727273
Laurel,LA,10,4496.0,449.6000000000000000
Evanston,QC,15,6744.0,449.6000000000000000
San Clemente,KY,6,2697.0,449.5000000000000000
Livonia,KY,9,4045.0,449.4444444444444444
Fountain Valley,OK,8,3595.0,449.3750000000000000
Chino Hills,ON,18,8087.0,449.2777777777777778
Clearwater,MD,19,8536.0,449.2631578947368421
Kearns,YT,21,9432.0,449.1428571428571429
Hartland,NS,10,4491.0,449.1000000000000000
Santa Barbara,ME,7,3143.0,449.0000000000000000
Sioux Falls,NU,11,4939.0,449.0000000000000000
Arvada,CT,9,4041.0,449.0000000000000000
Wisconsin Dells,MD,14,6285.0,448.9285714285714286
Cranston,MN,12,5387.0,448.9166666666666667
Lima,QC,19,8529.0,448.8947368421052632
Waterbury,AB,8,3591.0,448.8750000000000000
Greenville,OR,12,5386.0,448.8333333333333333
Garland,NB,6,2693.0,448.8333333333333333
Glendale,KS,6,2693.0,448.8333333333333333
Cudahy,NS,26,11668.0,448.7692307692307692
Port Orford,BC,10,4487.0,448.7000000000000000
Manhattan,SK,16,7179.0,448.6875000000000000
Glens Falls,NB,11,4935.0,448.6363636363636364
Enfield,FL,11,4935.0,448.6363636363636364
West Bend,KS,8,3589.0,448.6250000000000000
Garden Grove,MN,10,4486.0,448.6000000000000000
New Madrid,NS,10,4486.0,448.6000000000000000
Lufkin,RI,20,8971.0,448.5500000000000000
Aguadilla,CA,8,3588.0,448.5000000000000000
Alhambra,AB,11,4933.0,448.4545454545454545
Gulfport,LA,18,8071.0,448.3888888888888889
Chicopee,NS,26,11657.0,448.3461538461538462
Marlborough,NL,15,6725.0,448.3333333333333333
Inglewood,PE,13,5828.0,448.3076923076923077
Stafford,ON,7,3138.0,448.2857142857142857
Kingston,AL,7,3138.0,448.2857142857142857
West Sacramento,WI,7,3137.0,448.1428571428571429
Hope,NH,14,6274.0,448.1428571428571429
McAllen,IN,16,7170.0,448.1250000000000000
Olean,AB,6,2688.0,448.0000000000000000
Providence,FL,10,4479.0,447.9000000000000000
Kemmerer,AL,7,3135.0,447.8571428571428571
Chickasha,AL,10,4478.0,447.8000000000000000
Coral Springs,UT,11,4924.0,447.6363636363636364
Ashland,PA,13,5819.0,447.6153846153846154
Eugene,ND,7,3133.0,447.5714285714285714
Stafford,OK,16,7161.0,447.5625000000000000
Jonesboro,YT,25,11188.0,447.5200000000000000
Des Moines,QC,8,3580.0,447.5000000000000000
Duarte,NS,11,4922.0,447.4545454545454545
Staunton,NS,7,3132.0,447.4285714285714286
Lima,BC,7,3132.0,447.4285714285714286
La Jolla,BC,22,9843.0,447.4090909090909091
Racine,AB,21,9395.0,447.3809523809523810
Pomona,MB,8,3578.0,447.2500000000000000
Laughlin,NY,8,3576.0,447.0000000000000000
Nogales,OK,12,5364.0,447.0000000000000000
Terre Haute,DE,8,3576.0,447.0000000000000000
Rolling Hills Estates,NS,15,6701.0,446.7333333333333333
Overland Park,PE,7,3127.0,446.7142857142857143
Berkeley,NB,6,2680.0,446.6666666666666667
Carolina,NL,9,4020.0,446.6666666666666667
Morgan City,MB,6,2680.0,446.6666666666666667
Plymouth,NU,11,4913.0,446.6363636363636364
Marquette,NS,11,4913.0,446.6363636363636364
Harrisburg,OK,10,4466.0,446.6000000000000000
Vernon,WI,12,5359.0,446.5833333333333333
Sugar Land,PE,9,4019.0,446.5555555555555556
Buena Park,ON,8,3572.0,446.5000000000000000
Milford,CO,9,4018.0,446.4444444444444444
Pasco,DE,7,3125.0,446.4285714285714286
Scarborough,AZ,12,5357.0,446.4166666666666667
Saint Louis,QC,19,8478.0,446.2105263157894737
Great Falls,MB,10,4462.0,446.2000000000000000
Yukon,NL,21,9370.0,446.1904761904761905
Beverly,AB,7,3123.0,446.1428571428571429
Kenner,MA,8,3569.0,446.1250000000000000
South Burlington,NU,12,5352.0,446.0000000000000000
Powell,TX,10,4460.0,446.0000000000000000
Cruz Bay,DE,7,3122.0,446.0000000000000000
Newark,NE,14,6244.0,446.0000000000000000
Sugar Land,OR,6,2676.0,446.0000000000000000
Thousand Oaks,PA,10,4460.0,446.0000000000000000
Derby,MB,8,3568.0,446.0000000000000000
Ventura,MB,8,3567.0,445.8750000000000000
Carson City,KS,7,3120.0,445.7142857142857143
West Memphis,SK,27,12033.0,445.6666666666666667
Baton Rouge,NS,8,3565.0,445.6250000000000000
Moorhead,BC,20,8912.0,445.6000000000000000
Durant,ND,18,8020.0,445.5555555555555556
Kearns,ON,7,3118.0,445.4285714285714286
Coos Bay,IL,7,3118.0,445.4285714285714286
Cypress,AZ,27,12026.0,445.4074074074074074
Arlington,SK,6,2672.0,445.3333333333333333
New London,MB,6,2672.0,445.3333333333333333
Melrose,OH,7,3117.0,445.2857142857142857
Williston,SK,15,6679.0,445.2666666666666667
Coatesville,QC,8,3561.0,445.1250000000000000
Rancho Cucamonga,NS,10,4451.0,445.1000000000000000
Ogden,PE,22,9791.0,445.0454545454545455
Orangeburg,KS,8,3560.0,445.0000000000000000
Sierra Madre,NS,15,6674.0,444.9333333333333333
Gary,ON,15,6674.0,444.9333333333333333
Rancho Santa Margarita,NE,12,5339.0,444.9166666666666667
Portland,AB,20,8898.0,444.9000000000000000
Long Beach,NU,9,4004.0,444.8888888888888889
Lakeland,SK,13,5783.0,444.8461538461538462
Visalia,VT,33,14679.0,444.8181818181818182
Jeffersontown,NB,7,3113.0,444.7142857142857143
Rancho Santa Margarita,NB,13,5781.0,444.6923076923076923
Bremerton,NS,12,5336.0,444.6666666666666667
Edina,NM,6,2668.0,444.6666666666666667
Perth Amboy,NL,22,9782.0,444.6363636363636364
Chesapeake,MB,16,7114.0,444.6250000000000000
Biddeford,MA,7,3112.0,444.5714285714285714
Cypress,PE,9,4001.0,444.5555555555555556
Bristol,MA,15,6667.0,444.4666666666666667
South Burlington,OH,7,3111.0,444.4285714285714286
Butler,ND,8,3555.0,444.3750000000000000
Huntington,OK,6,2666.0,444.3333333333333333
Hutchinson,NT,6,2666.0,444.3333333333333333
Dallas,ON,18,7997.0,444.2777777777777778
Downey,OK,25,11106.0,444.2400000000000000
Portland,QC,16,7107.0,444.1875000000000000
Wheeling,NT,20,8883.0,444.1500000000000000
Baldwin Park,ON,7,3109.0,444.1428571428571429
Oil City,PE,8,3553.0,444.1250000000000000
Ann Arbor,AB,13,5773.0,444.0769230769230769
Menomonee Falls,NC,8,3552.0,444.0000000000000000
Douglas,VA,7,3108.0,444.0000000000000000
Texas City,NT,18,7992.0,444.0000000000000000
Mandan,NV,7,3108.0,444.0000000000000000
Manitowoc,MS,8,3552.0,444.0000000000000000
Commerce,QC,7,3108.0,444.0000000000000000
Simi Valley,VT,12,5326.0,443.8333333333333333
Hopkinsville,CO,12,5325.0,443.7500000000000000
Charlotte Amalie,VA,7,3106.0,443.7142857142857143
Parma,ID,15,6655.0,443.6666666666666667
Anaheim,ID,9,3993.0,443.6666666666666667
Cheyenne,LA,7,3105.0,443.5714285714285714
Peru,FL,7,3105.0,443.5714285714285714
Nashua,WV,12,5322.0,443.5000000000000000
Yakima,LA,19,8426.0,443.4736842105263158
Davenport,MN,19,8424.0,443.3684210526315789
Charleston,YT,6,2660.0,443.3333333333333333
Mayagez,MB,21,9310.0,443.3333333333333333
Youngstown,KS,10,4433.0,443.3000000000000000
Farmer City,MS,9,3989.0,443.2222222222222222
North Pole,NT,8,3545.0,443.1250000000000000
Zanesville,NS,10,4431.0,443.1000000000000000
Oneida,QC,6,2658.0,443.0000000000000000
Lakeland,NL,31,13732.0,442.9677419354838710
Avalon,WI,8,3543.0,442.8750000000000000
Redondo Beach,SK,7,3100.0,442.8571428571428571
Guayanilla,OK,6,2657.0,442.8333333333333333
Cicero,MS,19,8413.0,442.7894736842105263
Mentor,NB,16,7084.0,442.7500000000000000
Brockton,VT,16,7084.0,442.7500000000000000
Grand Island,NH,8,3542.0,442.7500000000000000
